P180,    4.2840,   41.6670,   58.8700
P181,    7.8630,   40.4050,   59.1790
P182,    8.7090,   42.3370,   62.3700
P183,    5.5710,   41.0010,   64.1050
P184,    6.5920,   37.4080,   63.5010
P185,   10.1990,   38.1770,   64.4330
P186,    9.1840,   39.3420,   67.9190
P187,    7.0330,   36.2330,   68.4070
P188,    9.7890,   34.0120,   67.0330
P189,   12.4000,   35.5350,   69.3360
P190,   10.1830,   34.9390,   72.3740
P191,    9.8170,   31.2130,   71.6780
P192,   13.5460,   30.9110,   70.9440
P193,   14.4540,   32.7020,   74.1750
P194,   12.0860,   30.8520,   76.5140
P195,   12.9720,   27.4430,   75.0920
P196,   16.6640,   28.3500,   75.0590
P197,   17.7020,   27.8620,   71.4370
P198,   21.3850,   27.8290,   70.4310
P199,   22.8630,   31.3120,   69.9600
P200,   24.1890,   30.5960,   66.4480
P201,   20.8590,   29.2320,   65.1910
P202,   18.6930,   32.0140,   66.5960
P203,   21.2150,   34.6550,   65.5190
P204,   20.9460,   34.2380,   61.7480
P205,   17.2150,   33.4270,   61.8160
P206,   15.4930,   35.8780,   59.4570
P207,   12.1430,   34.0460,   59.0620
P208,   12.9580,   32.8030,   55.5510
P209,   10.9150,   29.8680,   54.1170
P210,   13.8570,   27.4590,   54.3290
P211,   14.7860,   28.3960,   57.9040
P212,   13.0230,   25.6170,   59.7760
P213,   15.9440,   24.3920,   61.9490
P214,   15.4590,   26.8900,   64.7840
P215,   11.7180,   26.1780,   64.8820
P216,   12.3790,   22.4370,   65.0280
P217,   14.6620,   23.2780,   67.9760
P218,   11.9870,   25.2350,   69.8860
P219,    9.7690,   22.1530,   69.5750
P220,   12.3650,   19.5720,   70.6480
P221,   13.0830,   21.5870,   73.7920
P222,    9.3880,   21.9780,   74.6090
P223,    8.9630,   18.2410,   74.0800
P224,   11.7800,   17.3800,   76.4840
P225,   10.8080,   19.8490,   79.1880
P226,    7.0200,   19.3390,   78.9540
P227,    6.3250,   15.9740,   77.2580
P228,    9.3180,   13.6650,   77.7700
P229,    6.7810,   10.8410,   77.9290
P230,    5.5810,   11.0150,   74.3230
P231,    5.0380,    7.7990,   72.3710
P232,    5.3620,    7.3870,   68.5940
P233,    3.9710,    4.3860,   66.7000
P234,    5.8590,    3.8660,   63.3890
P235,    7.3980,    7.3420,   63.4310
P236,   10.9050,    8.7670,   63.5340
P237,   11.3820,   11.2290,   66.3950
P238,   13.4590,   13.2780,   63.9610
P239,   10.4780,   13.4040,   61.6170
P240,    8.0550,   14.3940,   64.4040
P241,   10.2930,   17.3420,   65.2850
P242,   10.6790,   18.3430,   61.6340
P243,    6.9120,   18.2700,   61.1140
P244,    6.3130,   20.2560,   64.3010
P245,    8.8030,   22.8250,   62.9770
P246,    6.7960,   23.1580,   59.7670
P247,    3.4180,   23.5630,   61.4810
P248,    5.0470,   26.0540,   63.8310
P249,    6.4690,   28.0000,   60.8690
P250,    2.9890,   27.9120,   59.3820
P251,    1.4800,   29.4320,   62.5270
P252,    4.2090,   32.0470,   62.8520
P253,    3.6200,   33.1200,   59.2430
P254,   -0.1770,   33.1510,   59.6830
P255,    0.2500,   35.2120,   62.8600
P256,    2.5470,   37.6860,   61.1280
P257,    0.4970,   37.6790,   57.8960
P258,    3.4420,   36.7490,   55.6860
P259,    3.1970,   34.5460,   52.5980
P260,    5.9710,   33.6240,   50.1920
P261,    5.5050,   32.8260,   46.5230
P262,    6.6390,   29.2740,   45.7810
P263,    6.3440,   28.1510,   49.4190
P264,    3.8270,   26.3530,   51.6040
P265,    5.0910,   26.0560,   55.2250
P266,    3.2730,   22.8870,   56.2980
P267,    4.5180,   20.8200,   53.3770
P268,    1.1480,   19.0770,   53.7170
P269,   -2.2590,   18.8820,   52.0160
P270,   -5.7320,   17.6680,   53.0500
P271,   -6.7130,   14.7160,   50.8530
P272,  -10.4440,   13.9470,   50.7490
P273,   -9.7890,   10.2660,   50.0550
P274,  -12.9690,    8.2710,   49.5850
P275,  -11.2600,    5.0120,   50.6210
P276,  -13.5870,    4.4690,   53.5860
P277,  -17.0380,    4.8170,   51.9600
P278,  -17.6330,    1.6490,   49.9240
P279,  -16.3350,   -1.6670,   51.2840
