CC0001,2016-01-04 09:24:00,1.00,.00,2.00,-2.70,.00,2016-01-04 09:26:19.837000000,0
CC0002,2016-01-04 09:24:00,4.00,194.00,-1.80,3.10,.00,2016-01-04 09:26:19.823000000,0
CC0003,2016-01-04 09:34:00,2.70,202.00,-3.40,11.10,.00,2016-01-04 09:36:20.057000000,0
CC0004,2016-01-04 09:34:00,5.00,.00,1.20,-3.40,.00,2016-01-04 09:36:20.037000000,0
CC0005,2016-01-04 09:34:00,1.02,194.00,-1.80,3.10,.00,2016-01-04 09:36:20.050000000,0
CC0006,2016-01-04 09:44:00,7.03,205.00,-3.40,11.10,.00,2016-01-04 09:46:20.387000000,0
CC0007,2016-01-04 09:44:00,6.00,.00,1.80,-2.80,.00,2016-01-04 09:46:20.410000000,0
CC0008,2016-01-04 09:44:00,3.50,196.00,-1.80,3.00,.00,2016-01-04 09:46:20.397000000,0
CC0009,2016-01-04 09:54:00,4.00,206.00,-3.40,11.10,.00,2016-01-04 09:56:19.917000000,0
CC0010,2016-01-04 09:54:00,5.60,.00,1.60,-3.00,.00,2016-01-04 09:56:19.870000000,0
CC0011,2016-01-04 09:54:00,5.08,198.00,-1.80,3.10,.00,2016-01-04 09:56:19.883000000,0
CC0012,2016-01-04 10:04:00,7.00,206.00,-3.40,11.10,.00,2016-01-04 10:11:20.593000000,0
CC0013,2016-01-04 10:04:00,2.00,.00,1.80,-2.70,.00,2016-01-04 10:11:20.580000000,0
CC0014,2016-01-04 10:04:00,4.00,198.00,-1.80,3.00,.00,2016-01-04 10:11:20.587000000,0
CC0015,2016-01-04 10:14:00,3.20,206.00,-3.40,11.10,.00,2016-01-04 10:16:20.143000000,0
CC0016,2016-01-04 10:14:00,3.00,.00,1.80,-2.70,.00,2016-01-04 10:16:20.177000000,0
